modelo,partition,accuracy,f1_macro
Baseline-majority,valid,0.40434843011947763,0.057585200573774545
LogisticRegression,valid,0.6891497638232843,0.5863439847447258
LinearSVM,valid,0.8270352875798833,0.7418504822900636
Baseline-majority,test,0.4043203445162187,0.05758235235928381
LogisticRegression,test,0.6858373272209488,0.5833911527242057
LinearSVM,test,0.8250329929846496,0.7327912180623863
